608 586
-104 139
146 -86
214 185
574 391
612 548
245 754
-58 532
609 413
135 27
1264 851
431 556
1393 772
41 -143
186 754
64 266
1533 385
1078 153
1069 708
-73 617
1585 615
375 659
72 294
1448 129
387 -45
-71 541
257 99
736 -127
877 -28
903 564
70 258
1082 258
-19 388
1030 366
1510 443
1439 -38
134 679
575 -8
1481 187
1179 592
1405 482
1179 188
357 773
627 847
1029 480
92 831
664 434
593 69
1439 429
-100 475
454 379
1410 197
1448 482
-77 809
1076 882
190 -38
1489 560
8 623
1184 802
1111 -52
-71 -156
-56 79
1365 392
840 716
108 114
897 852
854 -165
1264 65
1275 230
1371 614
846 -39
-2 -55
-28 -70
281 578
852 -171
19 850
866 33
327 611
229 437
1553 721
305 343
955 702
163 -165
15 335
932 424
438 872
886 222
837 612
1039 99
9 211
972 40
1182 -113
340 676
226 499
792 804
345 -114
1152 641
1447 812
-81 66
950 830
1519 411
1460 501
562 335
928 403
1478 798
570 845
193 -49
126 356
-68 829
1309 -168
197 170
119 681
485 820
890 755
1339 783
681 400
1260 121
733 456
-78 450
637 679
434 770
883 12
1242 470
-12 265
1056 797
-104 860
539 856
929 702
878 487
384 443
1177 733
1186 562
1373 160
1042 297
549 255
582 155
958 275
1560 540
235 272
482 668
1399 782
1028 104
327 729
797 673
874 599
782 640
868 313
481 -112
541 -99
1575 10
1283 751
1072 424
171 315
485 56
908 149
1461 788
335 -66
225 350
1141 38
319 726
606 475
295 -75
777 326
156 480
825 515
143 619
275 371
1238 -161
450 749
1339 391
1377 831
1308 729
64 512
1098 468
1262 -148
1212 598
339 90
976 185
1257 292
1233 874
409 -32
1436 394
1561 496
1594 399
795 -40
503 -156
170 613
-53 207
1369 556
1076 17
651 437
1587 33
319 96
1178 304
-7 359
258 669
404 -155
910 718
547 617
769 394
1535 675
-49 574
690 828
274 101
35 274
82 493
1268 560
1205 182
1341 274
1304 485
141 -101
-73 -113
679 -63
-57 622
570 614
669 297
713 322
1268 246
1442 -145
1218 -50
953 -173
816 -181
1521 783
1256 794
144 -16
216 481
1444 874
1111 598
1449 244
322 1
100 684
146 98
1295 148
1574 101
808 152
1452 207
637 363
1500 -151
1121 768
-58 374
453 734
850 553
669 487
391 -175
881 148
780 795
624 80
530 812
1497 718
1468 59
45 58
433 2
933 258
1291 13
1095 72
877 189
-7 60
1030 347
782 2
871 881
1291 451
1563 779
913 -150
55 -115
668 217
1562 -5
1558 636
1304 492
1038 325
-82 193
736 596
696 304
131 -173
1191 158
1578 51
474 376
1186 311
109 150
758 536
1212 -45
-65 370
1280 -171
1045 550
663 793
997 -179
723 734
1315 509
1047 434
364 415
1043 192
1358 24
1173 125
1218 273
1276 193
261 636
423 599
1168 52
261 28
139 219
-59 -66
1048 670
33 63
250 796
1111 408
416 708
639 803
1102 327
111 859
169 32
632 248
146 595
218 504
1185 41
923 616
986 454
400 598
1511 270
1232 -124
1323 21
571 136
32 783
528 383
740 -43
248 -103
764 95
506 -69
1241 -71
1580 5
874 -137
1241 18
798 607
152 405
266 627
1131 4
1369 -163
1366 413
585 627
1121 871
371 -180
1492 733
1141 368
1104 650
536 639
1178 471
582 561
-99 644
1427 71
102 51
412 759
824 122
132 126
945 162
677 290
1311 271
486 537
274 315
433 486
1395 294
1236 304
1017 -44
635 788
930 635
758 348
1336 -112
875 823
781 23
1345 85
1093 393
1517 483
1328 -176
1586 -101
446 827
-89 695
1367 286
333 674
712 -41
1481 773
736 731
611 546
576 356
219 847
398 -74
142 -169
1119 419
1253 358
1249 559
1225 250
1003 8
445 0
594 74
591 858
443 866
983 216
1361 478
326 663
635 198
460 561
355 680
400 397
729 730
1414 13
896 776
658 801
372 466
1062 59
-81 261
1499 182
1228 2
480 -30
1120 563
1072 86
1079 58
621 213
503 -123
975 572
944 509
186 -25
774 751
210 310
629 347
172 182
343 718
1263 272
933 -29
766 133
1365 533
978 -51
700 870
1516 505
155 499
862 317
627 456
1348 618
886 804
6 875
-14 29
618 -70
961 -133
382 -119
1098 530
542 17
1172 179
1255 337
794 -154
996 190
287 279
549 318
1569 205
1219 406
1415 195
315 789
-30 832
846 218
1596 -122
779 -151
872 8
974 864
1391 299
1106 647
741 381
153 210
139 593
711 295
1410 380
595 103
19 262
-60 127
756 848
82 535
750 646
